Nulo 分銷商											
區域	地區	店舖名稱	聯絡電話	地址	網址	Facebook	開放時間	是否24小時營業		Latitude	Longitude
香港	堅尼地城	Puppy Doggy	96411428	Shop 2, G/F, Kennedy Town Building,27 Kennedy Town Praya,		https://www.facebook.com/Puppy-Doggy-1262825080403840/	1200-2000	N	https://drive.google.com/drive/folders/1C9_m3rvDuAGrGC1W2yGqeTGf1lqIccuz?usp=sharing	22.2848749	114.1313479
香港	西營盤	Doggies & Friends	68769134	西營盤高街55號	https://linktr.ee/doggiesandfriends	https://www.facebook.com/doggiesandfriends/	1130-2030	N		22.2852498	114.1421272
香港	中環	曳曳孫	66211493	中環威靈頓街85-89號群英商業大廈2樓B室			1000-1900	N		22.2833247	114.154444
香港	半山區	Barkyard	66538404	半山摩羅廟交加街20號			10:30-20:00	N		22.2798962	114.1510924
香港	半山區	HUNTER	64227024	西半山聖士提反里1-2號金鳳閣地下6號	http://hunterhongkong.com/	https://www.facebook.com/hongkonghunter/	1100-2000	N		22.2842963	114.1421007
香港	灣仔	愛的寵物店	25752882	灣仔莊士敦道25~33號長康大廈地下C舖		https://www.facebook.com/Honeypetshopwc/		N		22.2772256	114.170549
香港	銅鑼灣	Private I Pets		Shop A G/F & Shop A1 & A2 1/F 9 Kingston Street Fashion Walk CWB	http://www.psgroup.com.hk/	https://www.facebook.com/PRIVATEiPETS	1000-2000	N		22.2819579	114.1860238
香港	銅鑼灣	三色貓	92278291	銅鑼灣利園山道70號鳳鳴大廈10樓H室				N		22.2783529	114.1839608
香港	銅鑼灣	花旗	6365 4232	銅鑼灣景隆街32號地鋪		https://www.facebook.com/flagshippets/		N		22.2819047	114.1833796
香港	銅鑼灣	松之頌	96247328	銅鑼灣景隆街海都大廈23號1樓I室		https://www.facebook.com/Poms-tale-%E6%9D%BE%E4%B9%8B%E9%A0%8C-671661406349018/		N		22.2817256	114.1834419
香港	跑馬地	Puff N Fluff	6180 0613	跑馬地源遠街9號	https://puff-n-fluff.business.site	https://www.facebook.com/PuffNFluff/	1000-1900	N		22.2693298	114.1859452
香港	天后	木星貓舍	61122638	天后興發街68號J地舖	https://www.salajupiter.com	https://www.facebook.com/SalajupiterCat		N		22.284962	114.191186
香港	炮台山	瑪琪寵物美容舍	98282862	北角京華道9-27號富利來商場9號地舖				N		22.2886368	114.1919944
香港	炮台山	Petapeer	91707470	炮台山宏暉大廈地下12號舖		https://www.facebook.com/petapeer	1100-2030	N		22.2886129	114.192215
香港	北角	毛MODE	93085651	北角渣華道8號威邦商業中心地下3號舖		https://www.facebook.com/momodefamilypetgrooming	1100-2000	N		22.2910862	114.1956053
香港	鰂魚涌	Vetopia Ltd	94296024	6B, 昌利大廈206-208 Tsat Tsz Mui Rd, Quarry Bay	www.vetopia.com.hk			N		22.2907979	114.2077962
香港	筲箕灣	狗狗物語	2885 2220	筲箕灣道235號地下				N		22.2799337	114.2256923
香港	筲箕灣	Rainbow Pet Shop	2134 1457	筲箕灣東大街54-60號		https://www.facebook.com/rainbowpetshophk		N		22.2795686	114.2299247
香港	柴灣	Smiley Pet	97136500	柴灣樂軒臺地舖106號				N		22.263897	114.240544
九龍	尖沙咀	貓狗緣	98386113	尖沙咀金巴利道86-96地下A舖	https://www.doggykittylink.com/		1000-2000	N		22.3023723	114.1757271
九龍	佐敦	Pawsmetic	65146554	佐敦文苑街8號地下	http://peticare.com.hk/pawsmetic/			N		22.307458	114.1670061
九龍	油麻地	Kitten Elves (breeder)	5330 4808	Front 1/F, Nathan Apartment, 508Nathan Road, Yau Ma Tei, KL		https://www.facebook.com/kittenelvescattery/		N		22.3122236	114.1710367
九龍	何文田	Hunter (何文田)		Shop 315, Level 3, Ho Man Tin Plaza, Ho Man Tin Est.	http://hunterhongkong.com/		1100-2000	N		22.316631	114.17479
九龍	旺角	寵物角落	9410 2372	九龍何文田亞皆老街100A皆寧大廈地下		https://www.facebook.com/petscorner.hk	1030-2030	N		22.3199641	114.1739976
九龍	旺角	長城專業寵物	9208 7321	旺角勝利道 28號地下				N		22.3197444	114.1744672
九龍	旺角	Meowcome	9600 1621	旺角弼街66號地下B店		https://www.facebook.com/meowcome66	1200-2100	N		22.3218494	114.1698586
九龍	旺角	Donut Meow	98413189	G/F, No. 167 Tung Choi Street,mong kok				N		22.3219199	114.1698635
九龍	旺角	Lovely Pets (MK)	63653672	旺角勝利道32號C				N		22.3198176	114.174467
九龍	大角咀	Mo Mo Grooming	92361501	大角咀中匯街14號地舖		https://www.facebook.com/momo.grooming	1100-2000	N		22.322638	114.1614045
九龍	太子	One Little Pet	51048298	荔枝角道93-95號IW Centre11/F				N		22.3244159	114.1654832
九龍	土瓜灣	名富	2762 7882	土瓜灣北帝街53號地下				N		22.3214832	114.1883812
九龍	美孚	Petstival	53074604	美孚新邨4期百老匯街109-111平台117號舖	http://www.petstival.com.hk/			N		22.3360994	114.1421007
九龍	深水埗	愛的寵物店	2361 1916	深水埗青山道74號舖		https://www.facebook.com/honeypetgroup		N		22.334555	114.161638
九龍	深水埗	寵物部	53074604	深水埗欽洲街25號地下		https://www.facebook.com/poppetshoppop		N		22.329163	114.158416
九龍	深水埗	CityU Vet Boutique	3650 3128	九龍深水埗荔枝角道339號丰匯地下	https://www.cityuvb.com.hk/	https://www.facebook.com/cityuvb	9:00 - 19:00	N		22.328954	114.1596344
九龍	紅磡	Little Paws	6707 8428	紅磡凱旋工業中心一期10/F,E4室		Little Paws - Hung Hom | Facebook	1000-2000	N		22.3090686	114.1888678
九龍	土瓜灣	JCM Cattery HK	9145 0888	土瓜灣貴州街4J號安慶大廈地下B舖		https://www.facebook.com/jcmcatteryhk		N		22.3171197	114.1918202
九龍	新蒲崗	小尾巴	2117 2131	新浦崗大有街2號旺景工業大廈2/F A座	(littletailshop.com)			N		22.3389	114.1989374
九龍	黃大仙	Monster Pet	27768281	G/F, 27 Wan Fung Street, Wong Tai Sin		https://www.facebook.com/Monster-Pet-279016753031939	1000-1930	N		22.3445487	114.1983059
九龍	九龍城	Hunter (九龍城)	64227024	九龍城福佬村道44A地鋪	http://hunterhongkong.com/		1100-2000	N		22.3290762	114.1877008
九龍	九龍城	dog lover	61333245	九龍城南角道39號A鋪		https://www.facebook.com/dogdogloverhk	1230-2230	N		22.3185673	114.1796057
九龍	慈雲山	CAT N DOG	9226 7670	慈雲山毓華街52號B				N		22.347097	114.20139
九龍	觀塘	Petcific	6143 2120	觀塘開源道54號豐利中心9樓901室	www.petcific.com.hk		14:00 - 19:00	N		22.3095383	114.2240966
九龍	觀塘	愛家寵物網絡	2304 8844	觀塘觀塘道396號毅力工業中心6樓V座	http://www.okpet.com.hk/		1200-2030	N		22.3132677	114.2222855
九龍	觀塘	毛價寶	97529429	觀塘興業街12號永泰中心6018室	https://sihomesimall.com/			N		22.309262	114.224851
九龍	觀塘	CAT INN	65353188	UNIT2,BLK B 4.F MAI HING INDUSTRIAL BUILDING 16-18 HING YIP STREET KT	https://www.catinn.com.hk/	https://www.facebook.com/catinnhk	1100-2000	N		22.3088856	114.225174
九龍	觀塘	Petjoy	3619 2550	觀塘開源道54號豐利中心1樓11號單位20號室	www.petjoy.com.hk	https://www.facebook.com/petjoyhk	11:00 - 20:00	N		22.3095383	114.2240966
九龍	觀塘	Meowline	94579919	九龍觀塘開源道47號凱源工業大廈3樓B2室	https://meow-line.com/home.php		13:00 - 22:00	N		22.3102003	114.2234929
新界	葵涌	寵物世界美容中心	2424 2833	葵芳葵涌廣場一樓B61舖				N		22.3582607	114.1271935
新界	葵涌	貓狗友	2428 8484	葵芳葵涌廣場地下A51號舖		https://www.facebook.com/catdogfd/	星期一 - 星期日:  12:00 - 22:30	N		22.3584385	114.1274926
新界	葵涌	天恩愛寵屋	9656 2933	葵涌和宜合道1號葵星中心66號地下B舖		www.facebook.com/天恩愛寵屋-249787719091130/	11am - 8pm	N		22.3657347	114.1355521
新界	葵涌	雲尼寵物屋	90771861	葵涌和宜合道138號-184號瑞景大廈地下舖28A舖	https://www.winnypethouse.com/	https://www.facebook.com/winnypethouse/		N		22.3694074	114.139205
新界	葵涌	Epet	8191 3234	Unit 1107, 11/F Vanta Industrial Centre, 21-33 Tai Lin Pai Road, Kwai Chung	www.epet.hk	https://www.facebook.com/epet.hk/		N		22.3649213	114.1348053
新界	荃灣	和記寵物專家	2675 9963	荃灣橫龍街宏龍工業大廈1402室	www.petexpert.com	https://www.facebook.com/Pet-Expert-%E5%92%8C%E8%A8%98%E5%AF%B5%E7%89%A9%E5%B0%88%E5%AE%B6-110552204561792/		N		22.3649913	114.1169021
新界	荃灣	愛的寵物店	2499 0111	荃灣楊屋道61號A-B舖	www.honeypetshop.com	https://www.facebook.com/honeypetgroup/	10:30 ~ 21:00	N		22.3684582	114.1151116
新界	荃灣	Hunter	23680105	荃灣大河道100號海之戀商場3樓3028號舖	http://hunterhongkong.com/	https://www.facebook.com/hongkonghunter/	每日 11:00 - 20:00	N		22.3680845	114.1106576
新界	荃灣	Paws Print	5226 3113	荃灣柴灣角街金熊工業中心C座10樓C室	www.pawsprinthk.com	www.facebook.com/PawsPrintHK/	9:00 - 17:00	N		22.3724726	114.1081693
新界	荃灣	Homey Paw	5915 5398	荃灣南豐中心7樓749室	www.homeypaw.com	https://www.instagram.com/homeypaw/	11:00 - 20:00	N		22.3735782	114.1164008
新界	荃灣	P Pet	63529523	Rm 2008, 20/F Technology Plaza, 29-35 Sha Tsiu Rd, Tsuen Wan	www.ppet.hk			N		22.3742236	114.108959
新界	青衣	貓狗寵物街	3480 3870	新界青衣長發邨青衣市場46號				N		22.3623356	114.1039637
新界	屯門	犬之樂園	2613 5806	屯門置樂區嘉喜利大廈4號地下		https://www.facebook.com/%E7%8A%AC%E4%B9%8B%E6%A8%82%E5%9C%92Pets-paradise-527944873932197/	12:00-20:00	N		22.388466	113.9800527
新界	屯門	Pet Market	2414 3122	屯門天后路18號南豐工業城5座9樓6,7,8 室	https://www.petmarket.com.hk/	https://www.facebook.com/petmarkethk/	星期一 - 五  10:00 - 19:00  星期六:  10:00 - 16:00  星期日:  休息中	N		22.3885715	113.9678652
新界	屯門	寵物美容屋	5578 4462	新界屯門新墟德政圍海盛大廈6號地鋪	Grooming Pet's House – 寵物美容屋 屯門德政圍 (gpetshouse.com)		10:00 - 18:00	N		22.3952672	113.9748581
新界	屯門	Pet Days	2881 0200	屯門藍地大街46號	www.petpetdaddy.com/		11:00 - 20:00	N		22.4188915	113.9839651
新界	屯門	星星寵物	61667412	新界青山公路屯門藍地段100號地舖		www.facebook.com/星星寵物水族-602906686835734/		N		22.4177558	113.9818846
新界	屯門	Hunter	2368 8825	屯門時代廣場北翼2樓36-37號	http://hunterhongkong.com/		11:00 - 20:00	N		22.3931642	113.9757613
新界	元朗	北京狗糧專賣店	2470 1928	元朗又新街19號 地下			星期一至日  10:00 - 21:00	N		22.443881	114.031195
新界	元朗	Hooment	2701 1777	新界元朗區公庵路68號溱柏地下G號鋪	https://www.hooment.com/	https://www.facebook.com/hoomenthk/	星期一至日  09:00 - 20:00	N		22.4361967	114.0246567
新界	元朗	元朗動物診所	2478 8733	元朗又新街39號地下				N		22.4437111	114.0313057
新界	粉嶺	犬貓良品	91330626	粉嶺帝庭軒商場G13號舖			12:00 - 20:00	N		22.5003493	114.1437134
新界	上水	濼濤寵物專業美容	2671 9017	上水新祥街11號地下		https://www.facebook.com/loktopetshop/		N		22.503942	114.129604
新界	大埔墟	寵樂動物診所	26570100	大埔廣福道149-155號B舖地下		https://www.facebook.com/happypawsvets/?ref=page_internal	9:30 - 18:30	N		22.4478534	114.1691325
新界	大埔	活靈寵物用品	6633 6736	大埔翠屏花園商場L2 2819號舖	https://woodlandpet.boutir.com/?lang=zh-Hant	https://www.instagram.com/woodlandpetequipment/	11:30 - 20:00	N		22.4532762	114.1679156
新界	大埔	名犬糧舍	2650 6682	大埔同發坊11號地下		https://www.facebook.com/CYpetshop/	10:30-21:00	N		22.448266	114.1688918
新界	大圍	狗農村	2687 3326	沙田新田村72號地下		https://www.facebook.com/dogvillageHK/		N		22.37211978	114.1830999
新界	大圍	Petmaster Pets Grooming	26810003	沙田大圍積德里20號地下				N		22.37575	114.177936
新界	沙田	國際寵物店	2601 1389	沙田正街3-9號希爾頓中心地下		https://www.facebook.com/ipethousehk/		N		22.37936	114.186812
新界	火炭	國際寵物店	2601 1389	火炭坳背灣街2-12號威力工業中心地下R3B		https://www.facebook.com/ipethousehk/		N		22.3973884	114.1961394
新界	馬鞍山	pet pet shop (迎海 )	2656 9899	烏溪沙迎海薈地下7號舖	petpetexpress.com/app/web/		11:00 -21:00	N		22.4300282	114.2432523
新界	馬鞍山	pet pet shop ( 新港城 )	2643 9110	新港城4期商場3012號舖	petpetexpress.com/app/web/		11:00 -21:00	N		22.4241643	114.2318055
新界	西貢	Pet Lover	2792 8918	西貢市福民路48號地舖		https://www.facebook.com/saikungpetlover/	10:00 - 20:30	N		22.3823586	114.272628
	寶琳	寵物橫町	26622243	新界將軍澳毓雅里9號慧安商場1樓B38-39號舖	petleshop.com	https://www.facebook.com/petlegarden/		N		22.3227097	114.2562889
新界	坑口	愛心寵物用品	2274 2128	將軍澳培成路8號南豐廣場A31號地舖				N		22.3144967	114.2638801
離島	長洲	長洲寵迷中心	6258 3025	長洲建新里4號			1100-2000	N		22.2058672	114.02787