s,t
"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1200'}}]","['星期一: 12:00 - 20:00', '星期二: 12:00 - 20:00', '星期三: 12:00 - 20:00', '星期四: 12:00 - 20:00', '星期五: 12:00 - 20:00', '星期六: 12:00 - 20:00', '星期日: 12:00 - 20:00']"
"[{'close': {'day': 0, 'time': '2015'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '2015'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '2015'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '2015'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '2015'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '2015'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '2015'}, 'open': {'day': 6, 'time': '1030'}}]","['星期一: 10:30 - 20:15', '星期二: 10:30 - 20:15', '星期三: 10:30 - 20:15', '星期四: 10:30 - 20:15', '星期五: 10:30 - 20:15', '星期六: 10:30 - 20:15', '星期日: 10:30 - 20:15']"
"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1000'}}]","['星期一: 10:00 - 20:30', '星期二: 10:00 - 20:30', '星期三: 10:00 - 20:30', '星期四: 10:00 - 20:30', '星期五: 10:00 - 20:30', '星期六: 10:00 - 20:30', '星期日: 10:00 - 20:30']"
"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1030'}}]","['星期一: 10:30 - 20:30', '星期二: 10:30 - 20:30', '星期三: 10:30 - 20:30', '星期四: 10:30 - 20:30', '星期五: 10:30 - 20:30', '星期六: 10:30 - 20:30', '星期日: 10:30 - 20:30']"
"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1100'}}]","['星期一: 11:00 - 20:30', '星期二: 11:00 - 20:30', '星期三: 11:00 - 20:30', '星期四: 11:00 - 20:30', '星期五: 11:00 - 20:30', '星期六: 11:00 - 20:30', '星期日: 11:00 - 20:30']"
"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1130'}}]","['星期一: 11:30 - 20:30', '星期二: 11:30 - 20:30', '星期三: 11:30 - 20:30', '星期四: 11:30 - 20:30', '星期五: 11:30 - 20:30', '星期六: 11:30 - 20:30', '星期日: 11:30 - 20:30']"
"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1200'}}]","['星期一: 12:00 - 20:30', '星期二: 12:00 - 20:30', '星期三: 12:00 - 20:30', '星期四: 12:00 - 20:30', '星期五: 12:00 - 20:30', '星期六: 12:00 - 20:30', '星期日: 12:00 - 20:30']"
"[{'close': {'day': 0, 'time': '2045'}, 'open': {'day': 0, 'time': '1045'}}, {'close': {'day': 1, 'time': '2045'}, 'open': {'day': 1, 'time': '1045'}}, {'close': {'day': 2, 'time': '2045'}, 'open': {'day': 2, 'time': '1045'}}, {'close': {'day': 3, 'time': '2045'}, 'open': {'day': 3, 'time': '1045'}}, {'close': {'day': 4, 'time': '2045'}, 'open': {'day': 4, 'time': '1045'}}, {'close': {'day': 5, 'time': '2045'}, 'open': {'day': 5, 'time': '1045'}}, {'close': {'day': 6, 'time': '2045'}, 'open': {'day': 6, 'time': '1045'}}]","['星期一: 10:45 - 20:45', '星期二: 10:45 - 20:45', '星期三: 10:45 - 20:45', '星期四: 10:45 - 20:45', '星期五: 10:45 - 20:45', '星期六: 10:45 - 20:45', '星期日: 10:45 - 20:45']"
"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1000'}}]","['星期一: 10:00 - 21:00', '星期二: 10:00 - 21:00', '星期三: 10:00 - 21:00', '星期四: 10:00 - 21:00', '星期五: 10:00 - 21:00', '星期六: 10:00 - 21:00', '星期日: 10:00 - 21:00']"
"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1030'}}]","['星期一: 10:30 - 21:00', '星期二: 10:30 - 21:00', '星期三: 10:30 - 21:00', '星期四: 10:30 - 21:00', '星期五: 10:30 - 21:00', '星期六: 10:30 - 21:00', '星期日: 10:30 - 21:00']"
"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1100'}}]","['星期一: 11:00 - 21:00', '星期二: 11:00 - 21:00', '星期三: 11:00 - 21:00', '星期四: 11:00 - 21:00', '星期五: 11:00 - 21:00', '星期六: 11:00 - 21:00', '星期日: 11:00 - 21:00']"
"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1200'}}]","['星期一: 12:00 - 21:00', '星期二: 12:00 - 21:00', '星期三: 12:00 - 21:00', '星期四: 12:00 - 21:00', '星期五: 12:00 - 21:00', '星期六: 12:00 - 21:00', '星期日: 12:00 - 21:00']"
"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '2300'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '2300'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '2300'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '2300'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '2300'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '2300'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '2300'}}]","['星期一: 23:00 - 21:00', '星期二: 23:00 - 21:00', '星期三: 23:00 - 21:00', '星期四: 23:00 - 21:00', '星期五: 23:00 - 21:00', '星期六: 23:00 - 21:00', '星期日: 23:00 - 21:00']"
"[{'close': {'day': 0, 'time': '2130'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '1100'}}]","['星期一: 11:00 - 21:30', '星期二: 11:00 - 21:30', '星期三: 11:00 - 21:30', '星期四: 11:00 - 21:30', '星期五: 11:00 - 21:30', '星期六: 11:00 - 21:30', '星期日: 11:00 - 21:30']"
"[{'close': {'day': 0, 'time': '2130'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '1130'}}]","['星期一: 11:30 - 21:30', '星期二: 11:30 - 21:30', '星期三: 11:30 - 21:30', '星期四: 11:30 - 21:30', '星期五: 11:30 - 21:30', '星期六: 11:30 - 21:30', '星期日: 11:30 - 21:30']"
"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}]","['星期一: 12:00 - 22:00', '星期二: 12:00 - 22:00', '星期三: 12:00 - 22:00', '星期四: 12:00 - 22:00', '星期五: 12:00 - 22:00', '星期六: 12:00 - 22:00', '星期日: 12:00 - 22:00']"
"[{'close': {'day': 0, 'time': '2230'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2230'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2230'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2230'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2230'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2230'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2230'}, 'open': {'day': 6, 'time': '1200'}}]","['星期一: 12:00 - 22:30', '星期二: 12:00 - 22:30', '星期三: 12:00 - 22:30', '星期四: 12:00 - 22:30', '星期五: 12:00 - 22:30', '星期六: 12:00 - 22:30', '星期日: 12:00 - 22:30']"
"[{'close': {'day': 0, 'time': '2230'}, 'open': {'day': 0, 'time': '1230'}}, {'close': {'day': 1, 'time': '2230'}, 'open': {'day': 1, 'time': '1230'}}, {'close': {'day': 2, 'time': '2230'}, 'open': {'day': 2, 'time': '1230'}}, {'close': {'day': 3, 'time': '2230'}, 'open': {'day': 3, 'time': '1230'}}, {'close': {'day': 4, 'time': '2230'}, 'open': {'day': 4, 'time': '1230'}}, {'close': {'day': 5, 'time': '2230'}, 'open': {'day': 5, 'time': '1230'}}, {'close': {'day': 6, 'time': '2230'}, 'open': {'day': 6, 'time': '1230'}}]","['星期一: 12:30 - 22:30', '星期二: 12:30 - 22:30', '星期三: 12:30 - 22:30', '星期四: 12:30 - 22:30', '星期五: 12:30 - 22:30', '星期六: 12:30 - 22:30', '星期日: 12:30 - 22:30']"
